Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,Molecule,Canonical SMILES,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,
Crocus sativus,5-Methyluracil,Cc1c[nH]c(=O)[nH]c1=O,C4H4N2O2,126.11,9,6,0.2,0,2,2,32.65,65.72,0.71,-0.62,-0.63,-0.8,1.67,0.07,-0.72,2.38E+01,1.89E-01,Very soluble,-0.29,6.50E+01,5.15E-01,Very soluble,-1.81,1.94E+00,1.54E-02,Soluble,High,No,No,No,No,No,No,No,-7.51,0,4,0,0,1,0.55,0,0,1,1.48
Crocus sativus, Uracil,O=c1cc[nH]c(=O)[nH]1,C12H10N2,112.09,8,6,0,0,2,2,27.68,65.72,0.52,-1.07,-0.94,-1.21,1.35,-0.27,-0.42,4.30E+01,3.84E-01,Very soluble,0.18,1.69E+02,1.51E+00,Highly soluble,-1.41,4.39E+00,3.92E-02,Soluble,High,No,No,No,No,No,No,No,-7.74,0,4,0,0,2,0.55,0,0,1,1.35
Crocus sativus,Harmane,Cc1nccc2c1[nH]c1c2cccc1,C16H12N2O2,182.22,14,13,0.08,0,1,1,58.57,28.68,1.75,3.28,3.02,1.9,3.53,2.7,-3.72,3.45E-02,1.89E-04,Soluble,-3.56,5.05E-02,2.77E-04,Soluble,-4.97,1.94E-03,1.06E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,No,Yes,-5.08,0,0,0,0,1,0.55,0,0,1,1.5
Crocus sativus,Perlolyrin,OCc1ccc(o1)c1nccc2c1[nH]c1c2cccc1,C7H6O4,264.28,20,18,0.06,2,3,2,77.43,62.05,2.36,2.23,3.32,1.02,3.81,2.55,-3.42,1.01E-01,3.82E-04,Soluble,-3.17,1.79E-01,6.79E-04,Soluble,-6.15,1.88E-04,7.10E-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.33,0,0,0,0,0,0.55,0,0,0,2.98
Crocus sativus,Protocatechuic acid,OC(=O)c1ccc(c(c1)O)O,C8H8O4,154.12,11,6,0,1,4,3,37.45,77.76,0.66,1.15,0.8,0.4,0.26,0.65,-1.86,2.14E+00,1.39E-02,Very soluble,-2.38,6.46E-01,4.19E-03,Soluble,-0.6,3.83E+01,2.48E-01,Soluble,High,No,No,No,No,No,No,Yes,-6.42,0,3,0,0,1,0.56,1,1,1,1.07
Crocus sativus,Vanillic acid,COc1cc(ccc1O)C(=O)O,C20H24O4,168.15,12,6,0.12,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,0.73,1.08,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.42
Crocus sativus,Crocetin,C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)O)/C)/C)/C=C/C=C(/C(=O)O)\C,C15H10O6,328.4,24,0,0.2,8,4,2,98.48,74.6,1.4,1.43,4.61,0.74,0.73,1.08,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.42
Crocus sativus,Kaempferol,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C21H20O11,286.24,21,16,0,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,2.03,1.58,-3.31,1.40E-01,4.90E-04,Soluble,-3.86,3.98E-02,1.39E-04,Soluble,-3.82,4.29E-02,1.50E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.7,0,0,0,0,0,0.55,0,0,0,3.14
Crocus sativus,Astragalin,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,C21H20O11,448.38,32,16,0.29,4,11,7,108.13,190.28,1.29,0.72,-0.24,-2.1,-0.12,-0.09,-3.18,2.97E-01,6.61E-04,Soluble,-4.29,2.28E-02,5.08E-05,Moderately soluble,-2.1,3.55E+00,7.91E-03,Soluble,Low,No,No,No,No,No,No,No,-8.52,2,0,1,1,3,0.17,0,0,1,5.29
Crocus sativus,Kaempferol-7-O-glucoside,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(c(c3=O)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,C27H30O16,448.38,32,16,0.29,4,11,7,108.13,190.28,2.25,0.72,-0.24,-2.1,-0.12,0.1,-3.18,2.97E-01,6.61E-04,Soluble,-4.29,2.28E-02,5.08E-05,Moderately soluble,-2.1,3.55E+00,7.91E-03,Soluble,Low,No,Yes,No,No,No,No,No,-8.52,2,0,1,1,3,0.17,0,0,1,5.24
Crocus sativus,Kaempferol 3-O-sophoroside,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,C8H8O4,610.52,43,16,0.44,7,16,10,140.52,269.43,1.24,-0.88,-2.42,-4.16,-2.24,-1.69,-2.88,7.97E-01,1.31E-03,Soluble,-4.3,3.09E-02,5.06E-05,Moderately soluble,-0.31,3.02E+02,4.94E-01,Soluble,Low,No,Yes,No,No,No,No,No,-10.65,3,4,1,1,4,0.17,0,0,1,6.53
Crocus sativus,3-Hydroxy-4-methoxybenzoic acid,COc1ccc(cc1O)C(=O)O,C9H14O,168.15,12,6,0.12,2,4,2,41.92,66.76,0.89,1.43,1.1,0.74,0.73,0.98,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.24
Crocus sativus,Isophorone,CC1=CC(=O)CC(C1)(C)C,C8H8O3,138.21,10,0,0.67,0,1,0,42.73,17.07,2.09,1.7,2.32,1.89,2.57,2.11,-1.77,2.36E+00,1.71E-02,Very soluble,-1.67,2.93E+00,2.12E-02,Very soluble,-2.31,6.80E-01,4.92E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.94,0,1,0,0,2,0.55,0,0,1,2.67
Crocus sativus,Methylparaben,COC(=O)c1ccc(cc1)O,C8H8O4,152.15,11,6,0.12,2,3,1,39.74,46.53,1.63,1.96,1.18,1.32,1.21,1.46,-2.29,7.81E-01,5.13E-03,Soluble,-2.56,4.17E-01,2.74E-03,Soluble,-1.88,2.00E+00,1.32E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.84,0,3,0,0,1,0.55,0,0,1,1.02
Crocus sativus,Methyl protocatechuate,COC(=O)c1ccc(c(c1)O)O,C9H12O2,168.15,12,6,0.12,2,4,2,41.77,66.76,1.52,1.48,0.88,0.74,0.73,1.07,-2.05,1.49E+00,8.85E-03,Soluble,-2.49,5.45E-01,3.24E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.27,0,0,0,0,1,0.55,1,1,1,1.37
Crocus sativus,4-Ketoisophorone,O=C1C=C(C)C(=O)C(C1)(C)C,C10H14O,152.19,11,0,0.56,0,2,0,42.93,34.14,1.73,1,1.5,0.87,2.25,1.47,-1.41,5.87E+00,3.86E-02,Very soluble,-1.31,7.53E+00,4.94E-02,Very soluble,-2.21,9.41E-01,6.18E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.52,0,1,0,0,1,0.55,0,0,1,2.63
Crocus sativus,Safranal,O=CC1=C(C)C=CCC1(C)C,C16H26O7,150.22,11,0,0.5,1,1,0,47.06,17.07,2.13,2.14,2.49,2.1,2.62,2.3,-2.05,1.33E+00,8.84E-03,Soluble,-2.13,1.11E+00,7.41E-03,Soluble,-2.13,1.12E+00,7.43E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.7,0,1,0,0,2,0.55,0,1,1,3.42
Crocus sativus,Epijasminoside A,OC[C@H]1O[C@@H](OC[C@@H]2C(=CC(=O)CC2(C)C)C)[C@@H]([C@H]([C@H]1O)O)O,C10H12O3,330.37,23,0,0.81,4,7,4,81.08,116.45,1.44,-0.84,-0.64,-0.88,0.09,-0.17,-1.1,2.65E+01,8.03E-02,Very soluble,-1.12,2.48E+01,7.50E-02,Very soluble,-0.31,1.63E+02,4.93E-01,Soluble,High,No,Yes,No,No,No,No,No,-8.91,0,1,0,0,0,0.55,0,0,0,5.3
Crocus sativus,"3-Formyl-6-hydroxy-2,4,4-trimethyl-2,5-cyclohexadien-1-one",O=CC1=C(C)C(=O)C(=CC1(C)C)O,C9H14O2,180.2,13,0,0.4,1,3,1,48.83,54.37,1.6,1.38,1.55,0.2,1.81,1.31,-1.76,3.13E+00,1.74E-02,Very soluble,-2.12,1.35E+00,7.50E-03,Soluble,-1.68,3.76E+00,2.09E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.42,0,0,0,0,1,0.55,0,1,1,3.05
Crocus sativus,"4-Hydroxy-3,5,5-trimethylcyclohex-2-enone",O=C1C=C[C@@](CC1(C)C)(C)O,C10H14O3,154.21,11,0,0.67,0,2,1,43.93,37.3,1.86,0.9,1.29,0.97,1.66,1.33,-1.36,6.68E+00,4.33E-02,Very soluble,-1.27,8.31E+00,5.39E-02,Very soluble,-1.52,4.70E+00,3.05E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.6,0,1,0,0,1,0.55,0,0,1,3.07
Crocus sativus,Crocusatin I,OCC1=C(C)C(=O)C(=CC1(C)C)O,C10H16O3,182.22,13,0,0.5,1,3,2,49.8,57.53,1.83,0.87,1.35,0.29,1.5,1.17,-1.45,6.44E+00,3.53E-02,Very soluble,-1.66,3.97E+00,2.18E-02,Very soluble,-1.56,5.00E+00,2.74E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.79,0,0,0,0,1,0.55,0,0,1,3.02
Crocus sativus,Crocusatin J,O=CC1=C(C)C[C@H]([C@H](C1(C)C)O)O,C10H16O3,184.23,13,0,0.7,1,3,2,49.86,57.53,1.65,0.12,0.65,0.39,1.24,0.81,-0.99,1.88E+01,1.02E-01,Very soluble,-0.88,2.41E+01,1.31E-01,Very soluble,-1.01,1.82E+01,9.86E-02,Soluble,High,No,No,No,No,No,No,No,-7.34,0,0,0,0,1,0.55,0,1,1,3.57
Crocus sativus,Crocusatin K,O=CC1=C(C)C[C@H]([C@@H](C1(C)C)O)O,C10H16O3,184.23,13,0,0.7,1,3,2,49.86,57.53,1.44,0.12,0.65,0.39,1.24,0.77,-0.99,1.88E+01,1.02E-01,Very soluble,-0.88,2.41E+01,1.31E-01,Very soluble,-1.01,1.82E+01,9.86E-02,Soluble,High,No,No,No,No,No,No,No,-7.34,0,0,0,0,1,0.55,0,1,1,3.57
Crocus sativus,Crocusatin L,OCC1=C(C)[C@H](O)C(=O)CC1(C)C,C16H26O7,184.23,13,0,0.7,1,3,2,49.86,57.53,1.82,-0.33,0.66,0.39,1.52,0.81,-0.71,3.61E+01,1.96E-01,Very soluble,-0.42,7.05E+01,3.83E-01,Very soluble,-1.58,4.83E+00,2.62E-02,Soluble,High,No,No,No,No,No,No,No,-7.66,0,0,0,0,1,0.55,0,1,1,3.52
Crocus sativus,Picrocrocin,OC[C@H]1O[C@@H](O[C@@H]2CC(=C(C(C2)(C)C)C=O)C)[C@@H]([C@H]([C@H]1O)O)O,C9H12O3,330.37,23,0,0.81,4,7,4,81.08,116.45,1.66,-0.5,-0.49,-0.88,0.2,0,-1.31,1.62E+01,4.91E-02,Very soluble,-1.48,1.10E+01,3.33E-02,Very soluble,-0.18,2.18E+02,6.59E-01,Soluble,High,No,Yes,No,No,No,No,No,-8.67,0,1,0,0,0,0.55,0,1,0,5.29
Crocus sativus,"2-Hydroxy-3,5,5-trimethylcyclohex-2-ene-1,4-dione",O=C1CC(C)(C)C(=O)C(=C1O)C,C13H20O2,168.19,12,0,0.56,0,3,1,44.5,54.37,1.64,0.85,1.39,-0.01,1.75,1.12,-1.42,6.42E+00,3.82E-02,Very soluble,-1.58,4.47E+00,2.66E-02,Very soluble,-1.86,2.30E+00,1.37E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.72,0,0,0,0,1,0.85,0,0,1,2.58
Crocus sativus,3-Hydroxy-beta-ionone,CC(=O)/C=C/C1=C(C)[C@@H](O)CCC1(C)C,C10H14O4,208.3,15,0,0.62,2,2,1,62.64,37.3,2.47,1.43,2.63,2.02,2.92,2.29,-1.9,2.62E+00,1.26E-02,Very soluble,-1.82,3.16E+00,1.52E-02,Very soluble,-2.29,1.06E+00,5.08E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.56,0,0,0,0,0,0.55,0,1,1,3.81
Crocus sativus,Crocusatin F,O=C1CC(C)(C)[C@H]2[C@](O1)(C)C(=O)OC2,C12H20O2,198.22,14,0,0.8,0,4,0,48.3,52.6,1.5,1.19,0.89,1.16,1.85,1.32,-1.82,3.01E+00,1.52E-02,Very soluble,-1.89,2.55E+00,1.29E-02,Very soluble,-1.99,2.02E+00,1.02E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.66,0,0,0,0,1,0.55,0,1,1,3.18
Crocus sativus,Crocusatin G,CCC(=O)C1=C(C)C[C@@H](CC1(C)C)O,C12H20O4,196.29,14,0,0.75,2,2,1,58.31,37.3,2.31,1.78,2.46,1.84,2.71,2.22,-2.05,1.76E+00,8.99E-03,Soluble,-2.18,1.29E+00,6.58E-03,Soluble,-2.61,4.85E-01,2.47E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.23,0,0,0,0,1,0.55,0,0,1,3.4
Crocus sativus,Crocusatin H,O[C@H]1CC(=C(C(C1)(C)C)[C@H](CC(=O)O)O)C,C20H30O11,228.28,16,0,0.75,3,4,3,61.05,77.76,1.86,0.11,1.32,0.92,1.36,1.11,-1.13,1.71E+01,7.47E-02,Very soluble,-1.3,1.15E+01,5.03E-02,Very soluble,-1.12,1.72E+01,7.55E-02,Soluble,High,No,No,No,No,No,No,No,-7.61,0,0,0,0,0,0.56,0,1,1,3.89
Crocus sativus,Crosatoside B,OC[C@H]1O[C@@H](OCCc2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,C16H10O6,446.45,31,6,0.7,7,11,7,103,178.53,1.62,-1.55,-2.4,-2.46,-1.94,-1.35,-1.31,2.17E+01,4.87E-02,Very soluble,-1.69,9.08E+00,2.03E-02,Very soluble,0.71,2.31E+03,5.18E+00,Soluble,Low,No,No,No,No,No,No,No,-10.12,2,1,1,1,3,0.17,0,0,1,5.44
Crocus sativus,"9,10-Dihydro-3,8-dihydroxy-1-methyl-9,10-dioxo-2-anthracenecarboxylic acid",O=C1c2cccc(c2C(=O)c2c1cc(O)c(c2C)C(=O)O)O,C15H24O,298.25,22,12,0.06,1,6,3,75.72,111.9,1.01,3.15,1.88,0.54,2.47,1.81,-4.01,2.91E-02,9.74E-05,Moderately soluble,-5.17,2.02E-03,6.76E-06,Moderately soluble,-3.84,4.27E-02,1.43E-04,Soluble,High,No,No,No,No,No,No,No,-5.88,0,0,0,0,0,0.56,1,0,0,2.67
 Curcuma longa,Espatulenol,C=C1CC[C@@H]2[C@H]([C@@H]3[C@H]1CC[C@]3(C)O)C2(C)C,C15H26O,220.35,16,0,0.87,0,1,1,68.34,20.23,3,3.11,3.39,3.67,3.27,3.29,-3.17,1.51E-01,6.83E-04,Soluble,-3.2,1.38E-01,6.26E-04,Soluble,-2.96,2.39E-01,1.09E-03,Soluble,High,Yes,No,No,Yes,No,No,No,-5.44,0,0,0,0,1,0.55,0,1,1,3.78
  Curcuma longa,beta-Eudesmol,C=C1CCC[C@]2([C@H]1C[C@@H](CC2)C(O)(C)C)C,C10H16O,222.37,16,0,0.87,1,1,1,70.46,20.23,3.06,3.74,3.92,3.67,3.64,3.6,-3.51,6.89E-02,3.10E-04,Soluble,-3.86,3.09E-02,1.39E-04,Soluble,-3.21,1.36E-01,6.12E-04,Soluble,High,Yes,No,No,No,Yes,No,No,-5,0,0,0,0,1,0.55,0,1,2,3.38
 Curcuma longa,Camphor,O=C1C[C@@H]2C([C@@]1(C)CC2)(C)C,C10H16,152.23,11,0,0.9,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.85,2.37,-2.16,1.04E+00,6.86E-03,Soluble,-2.18,1.00E+00,6.57E-03,Soluble,-2.6,3.83E-01,2.52E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,1,0,0,2,0.55,0,0,1,3.22
 Curcuma longa,Limonene,CC1=CC[C@@H](CC1)C(=C)C,C20H40O2,136.23,10,0,0.6,1,0,0,47.12,0,2.72,4.57,3.31,3.27,2.97,3.37,-3.5,4.33E-02,3.18E-04,Soluble,-4.29,6.93E-03,5.09E-05,Moderately soluble,-2.26,7.54E-01,5.53E-03,Soluble,Low,Yes,No,No,No,Yes,No,No,-3.89,0,1,0,0,2,0.55,0,1,2,3.46
 Curcuma longa,Arachidic acid,CCCCCCCCCCCCCCCCCCCC(=O)O,C21H20O6,312.53,22,0,0.95,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,7.01,6.62,-6.44,1.13E-04,3.61E-07,Poorly soluble,-9.97,3.31E-08,1.06E-10,Poorly soluble,-6.91,3.84E-05,1.23E-07,Poorly soluble,Low,No,No,Yes,No,No,No,No,-1.61,1,1,1,1,2,0.85,0,0,2,2.77
 Curcuma longa,Curcumin,COc1cc(/C=C/C(=C/C(=O)/C=C/c2ccc(c(c2)OC)O)/O)ccc1O,C10H18O,368.38,27,12,0.1,7,6,3,103.7,96.22,3.21,3.98,3.63,1.47,3.55,3.17,-4.5,1.17E-02,3.18E-05,Moderately soluble,-5.7,7.32E-04,1.99E-06,Moderately soluble,-3.61,9.02E-02,2.45E-04,Soluble,High,No,No,No,No,Yes,No,Yes,-5.72,0,0,0,0,0,0.56,0,3,2,3.42
 Curcuma longa,linalool,C=C[C@@](CCC=C(C)C)(O)C,C15H24,154.25,11,0,0.6,4,1,1,50.44,20.23,2.71,2.97,2.67,2.59,2.35,2.66,-2.4,6.09E-01,3.95E-03,Soluble,-3.06,1.35E-01,8.75E-04,Soluble,-1.84,2.20E+00,1.43E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.13,0,1,0,0,2,0.55,0,1,1,2.74
 Curcuma longa,alpha-Cedrene,CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,C15H24,204.35,15,0,0.87,0,0,0,66.88,0,3.2,4.62,4.42,5.65,3.91,4.36,-4.02,1.96E-02,9.60E-05,Moderately soluble,-4.35,9.23E-03,4.51E-05,Moderately soluble,-3.52,6.19E-02,3.03E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.27,1,0,0,0,1,0.55,0,1,2,5.53
 Curcuma longa,Thujopsene,CC1=CC[C@]2([C@@]3([C@H]1C3)C(C)(C)CCC2)C,C15H24,204.35,15,0,0.87,0,0,0,66.62,0,3.16,4.76,4.56,5.65,4.3,4.49,-4.11,1.60E-02,7.84E-05,Moderately soluble,-4.49,6.60E-03,3.23E-05,Moderately soluble,-3.97,2.19E-02,1.07E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.17,1,0,0,0,1,0.55,0,1,2,4.92
 Curcuma longa,alpha-Zingiberene,CC(=CCC[C@@H]([C@@H]1CC=C(C=C1)C)C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0,3.65,5.17,4.89,4.53,4.09,4.47,-4.1,1.62E-02,7.94E-05,Moderately soluble,-4.92,2.48E-03,1.21E-05,Moderately soluble,-3.1,1.62E-01,7.91E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.88,1,0,0,0,2,0.55,0,1,2,4.81
 Curcuma longa,(S)-beta-Bisabolene,CC(=CCCC(=C)[C@H]1CCC(=CC1)C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0,3.67,6.43,5.04,4.53,4.5,4.83,-4.89,2.61E-03,1.28E-05,Moderately soluble,-6.22,1.22E-04,5.98E-07,Poorly soluble,-3.58,5.36E-02,2.62E-04,Soluble,Low,No,No,No,No,Yes,No,No,-2.98,1,0,0,0,2,0.55,0,1,2,3.9
  Curcuma longa,beta-Elemene,C=C[C@]1(C)CC[C@H](C[C@H]1C(=C)C)C(=C)C,C18H39NO2,204.35,15,0,0.6,3,0,0,70.42,0,3.37,6.11,4.75,4.53,4.5,4.65,-4.76,3.57E-03,1.74E-05,Moderately soluble,-5.89,2.62E-04,1.28E-06,Moderately soluble,-3.58,5.36E-02,2.62E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.21,1,0,0,0,2,0.55,0,1,2,3.63
 Curcuma longa,Sphinganine,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O,C16H32O,301.51,21,0,1,16,3,3,93.67,66.48,4.23,5.8,4.15,3.13,4.83,4.43,-4.31,1.49E-02,4.93E-05,Moderately soluble,-6.97,3.26E-05,1.08E-07,Poorly soluble,-4.92,3.66E-03,1.21E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-4.02,0,0,1,0,2,0.55,0,0,2,3.42
 Curcuma longa,Palmitaldehyde,CCCCCCCCCCCCCCCC=O,C15H24,240.42,17,0,0.94,14,1,0,79.23,17.07,4.15,7.05,5.67,4.31,5.96,5.43,-4.85,3.41E-03,1.42E-05,Moderately soluble,-7.23,1.43E-05,5.95E-08,Poorly soluble,-5.89,3.10E-04,1.29E-06,Moderately soluble,High,No,No,Yes,No,No,No,No,-2.76,1,1,1,0,2,0.55,0,1,3,2.26
 Curcuma longa,beta-Sesquiphellandrene,C[C@H]([C@H]1CCC(=C)C=C1)CCC=C(C)C,C15H26O2,204.35,15,0,0.6,4,0,0,70.68,0,3.65,5.41,4.89,4.53,4.37,4.57,-4.25,1.15E-02,5.61E-05,Moderately soluble,-5.17,1.40E-03,6.84E-06,Moderately soluble,-3.35,9.13E-02,4.47E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.71,1,0,0,0,2,0.55,0,1,2,4.42
 Curcuma longa,"[1S-[1alpha,2beta,5beta(R*)]]-5-(1,5-Dimethyl-4-hexenyl)-2-methyl-3-cyclohexene-1,2-diol",CC(=CCC[C@@H]([C@@H]1C=C[C@]([C@H](C1)O)(C)O)C)C,C15H22,238.37,17,0,0.73,4,2,2,73.52,40.46,3.04,3.29,3.06,2.63,2.73,2.95,-3.13,1.78E-01,7.47E-04,Soluble,-3.81,3.65E-02,1.53E-04,Soluble,-1.96,2.61E+00,1.09E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.42,0,0,0,0,0,0.55,0,1,1,4.52
 Curcuma longa,(R)-(-)-alpha-Curcumene,CC(=CCC[C@H](c1ccc(cc1)C)C)C,C15H20O,202.34,15,6,0.47,4,0,0,69.55,0,3.39,5.38,4.84,5.75,4.82,4.84,-4.52,6.17E-03,3.05E-05,Moderately soluble,-5.13,1.49E-03,7.34E-06,Moderately soluble,-4.9,2.55E-03,1.26E-05,Moderately soluble,Low,No,No,No,No,No,Yes,No,-3.71,1,0,0,0,2,0.55,0,1,2,2.31
 Curcuma longa,(+)-ar-Turmerone,CC(=CC(=O)C[C@@H](c1ccc(cc1)C)C)C,C15H22O,216.32,16,6,0.4,4,1,0,69.75,17.07,3.12,3.98,4.02,3.68,4.38,3.84,-3.7,4.30E-02,1.99E-04,Soluble,-4.04,1.97E-02,9.13E-05,Moderately soluble,-4.45,7.76E-03,3.59E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.79,0,0,0,0,1,0.55,0,1,2,2.4
 Curcuma longa,alpha-Turmerone,CC(=CC(=O)C[C@@H]([C@@H]1CC=C(C=C1)C)C)C,C15H22O,218.33,16,0,0.53,4,1,0,70.88,17.07,3.11,3.77,4.07,3.37,3.64,3.59,-3.3,1.08E-01,4.96E-04,Soluble,-3.82,3.29E-02,1.51E-04,Soluble,-2.65,4.91E-01,2.25E-03,Soluble,High,Yes,No,No,Yes,Yes,No,No,-4.96,0,0,0,0,1,0.55,0,1,2,4.53
 Curcuma longa,Curlone,C[C@H]([C@@H]1CCC(=C)C=C1)CC(=O)C=C(C)C,C15H22O,218.33,16,0,0.53,4,1,0,70.88,17.07,3.14,4.01,4.07,3.37,3.93,3.7,-3.46,7.64E-02,3.50E-04,Soluble,-4.07,1.85E-02,8.49E-05,Moderately soluble,-2.9,2.77E-01,1.27E-03,Soluble,High,Yes,No,No,Yes,Yes,No,No,-4.78,0,0,0,0,1,0.55,0,1,2,4.17
 Curcuma longa,Turmerone,CC(=CC(=O)C[C@@H](C1=CCC(=CC1)C)C)C,C15H24,218.33,16,0,0.53,4,1,0,70.88,17.07,3.21,3.33,4.21,3.37,4.04,3.63,-3.03,2.05E-01,9.38E-04,Soluble,-3.37,9.42E-02,4.31E-04,Soluble,-3.1,1.75E-01,8.00E-04,Soluble,High,Yes,No,No,No,Yes,No,No,-5.27,0,0,0,0,1,0.55,0,2,1,3.88
 Curcuma longa,Germacrene D,CC1=CCCC(=C)C=C[C@@H](CC1)C(C)C,C15H22O,204.35,15,0,0.6,1,0,0,70.68,0,3.32,4.74,4.89,4.53,4.01,4.3,-4.03,1.92E-02,9.39E-05,Moderately soluble,-4.47,6.93E-03,3.39E-05,Moderately soluble,-3.32,9.83E-02,4.81E-04,Soluble,Low,No,No,No,No,Yes,No,No,-4.18,1,0,0,0,1,0.55,0,1,2,4.55
 Curcuma longa,Germacrone,CC1=CCC(=C(C)C)C(=O)CC(=CCC1)C,C15H24O2,218.33,16,0,0.53,0,1,0,70.88,17.07,2.96,3.46,4.36,3.37,3.93,3.62,-3.37,9.24E-02,4.23E-04,Soluble,-3.5,6.90E-02,3.16E-04,Soluble,-3.64,5.00E-02,2.29E-04,Soluble,High,Yes,No,No,No,Yes,No,No,-5.18,0,0,0,0,1,0.55,0,2,1,3.9
 Curcuma longa,Curdione,CC1=CCC[C@H](C)C(=O)C[C@H](C(=O)C1)C(C)C,C15H22O2,236.35,17,0,0.73,1,2,0,72.03,34.14,2.71,2.65,3.55,2.54,3.51,2.99,-2.91,2.92E-01,1.23E-03,Soluble,-3.02,2.27E-01,9.59E-04,Soluble,-3.33,1.09E-01,4.62E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.86,0,0,0,0,0,0.55,0,1,1,4.44
 Curcuma longa,Dehydrocurdione,CC1=CCC[C@H](C)C(=O)CC(=C(C)C)C(=O)C1,C15H20O2,234.33,17,0,0.6,0,2,0,71.56,34.14,2.66,2.78,3.62,2.45,3.62,3.02,-3.04,2.12E-01,9.03E-04,Soluble,-3.15,1.65E-01,7.03E-04,Soluble,-3.55,6.63E-02,2.83E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.76,0,0,0,0,0,0.55,0,2,1,4.27
